,Address,Latitude,Longitude
93,2800 Metcalfe Road Austin  TX,30.2242083,-97.7379358
94,8Th Street And Congress Avenue Austin  TX,30.2699197,-97.7421066
95,7631 Us Highway 290 West Austin  TX,30.22775579999999,-97.8821007
96,3411 Amalfi Cove Austin  TX,30.4197824,-97.7137728
97,2036 Nestlewood Drive Austin  TX,30.368451,-97.6538149
98,North Interstate 35  Service Road And East Powell Lane Austin  TX,30.3747519,-97.6764406
99,Beckett Road And Davis Lane Austin  TX,30.2078274,-97.8694261
100,6029 Blue Bluff Road Austin  TX,30.277483,-97.61159599999999
101,South Ih 35 Frontage Road And East Cesar Chavez Street Austin  TX,30.2612203,-97.7367715
102,8Th And Concho Austin  TX,30.2644859,-97.72471929999999
103,11111 Renel Drive Austin  TX,30.3838311,-97.69519480000001
104,4509 East St Elmo Road Austin  TX,30.2051583,-97.73806309999999
105,515 East Slaughter Lane Austin  TX,30.1626911,-97.7798936
106,10810 N Lamar Boulevard Austin  TX,30.3771976,-97.6894476
107,13817 Klaus Lane Travis  TX,30.36198,-97.428517
108,3601 Country White Lane Austin  TX,30.2212852,-97.8274258
109,Georgian Drive Austin  TX,30.360886,-97.69337469999999
110,East Martin Luther King Boulevard And Springdale Road Austin  TX,30.28583459999999,-97.6826564
111,7104 Berkman Drive Austin  TX,30.32339279999999,-97.687028
112,4604 Parkdale Pl Austin  TX,30.2227119,-97.786223
113,Ross Road And Highway 71 Austin  TX,30.1862016,-97.60952619999999
114,9401 Us Highway 183 South Austin  TX,30.1145465,-97.69449
115,9401 Highway 183 South Austin  TX,30.1148408,-97.69452199999999
116,Slaughter Lane And Manchaca Road Austin  TX,30.1736392,-97.8238312
117,5400 Freidrich Lane Austin  TX,30.2000489,-97.75682719999999
118,Airport And Oaksprings Austin  TX,30.2736074,-97.69792489999999
119,2509 East 11Th Street Austin  TX,30.2664039,-97.71483339999999
120,11441 S Ih 35 Frontage Rd Austin  TX,30.1528161,-97.7920282
121,9024 Northgate Boulevard Austin  TX,30.3700305,-97.71737449999999
122,1820 Adina Austin  TX,30.2837656,-97.67933529999999
123,2435 Oak Crest Avenue Austin  TX,30.2420267,-97.76245970000001
124,1711 Ledgewood Drive Austin  TX,30.3761825,-97.7102944
125,14300 Tandem Boulevard Austin  TX,30.443138,-97.694103
126,4124 Valley View Road Austin  TX,30.2309081,-97.78550109999999
127,117701 Big Trail Austin  TX,30.4134211,-97.739342
128,1300 Kirkwood Road Austin  TX,30.2960031,-97.71622269999999
129,6102 Kidneywood Trl Austin  TX,30.250307,-97.88352100000002
130,183 And Metropolis Austin  TX,30.2098716,-97.68316779999999
131,11707 Schriber Road Travis  TX,30.0718101,-97.6773781
132,Cameron Road And Ferguson Lane Austin  TX,30.3458232,-97.67756949999999
133,1109 Valdez Austin  TX,30.2303864,-97.6950676
134,4200 Brookview Road Austin  TX,30.2962587,-97.7102938
135,8220 West Highway 71 Austin  TX,30.2475924,-97.8863259
136,9200 North Plaza Austin  TX,30.3544049,-97.6860561
137,124 West Anderson Lane Austin  TX,30.3446809,-97.70522550000001
138,2600 Highland Haven Drive Austin  TX,30.2600634,-97.6695415
139,7929 South Hiway 183 Austin  TX,30.1421379,-97.6966028
140,505 East Hulet Drive Austin  TX,30.33063139999999,-97.70870389999999
141,1311 Fairbanks Unit B Austin  TX,30.3276633,-97.69165369999999
142,12118 Walnut Park Crossing Austin  TX,30.3935615,-97.6769525
143,Westgate And William Cannon Austin  TX,30.2071514,-97.81551209999999
144,1700 Red Fox Road Lakeway  TX,30.3727788,-97.9291758
145,400 West Saint Elmo Road Austin  TX,30.2209078,-97.7702365
146,11701 Metric Austin  TX,30.3966223,-97.70478910000001
147,7600 Tisdale Road Austin  TX,30.3475374,-97.7216636
148,Well Branch Parkway And South Heatherwilde Boulevard Pflugerville  TX,30.4326329,-97.6527658
149,7813 Marble Ridge Drive Austin  TX,30.1581797,-97.7363445
150,14013 Briar Creek Loop Manor  TX,30.3120761,-97.5329534
